"permit_id"	"name"	"address"	"category"	"permit_url"	"map_url"	"phone_num"	"YelpID"	"lat"	"lon"
2428	"BANANA LEAVES"	"2020 FLORIDA AVE NW Washington, DC 20009"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=2428"	"http://maps.google.com/maps?q=2020 FLORIDA AVE NW Washington, DC 20009"	2029861333	"banana-leaves-washington"	38.9145151	-77.045601
2953	"BANDELERO"	"3241 M ST NW Washington, DC 20007"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=2953"	"http://maps.google.com/maps?q=3241 M ST NW Washington, DC 20007"	2026254488	"bandolero-washington-2"	38.9053927	-77.0642335
4723	"BANG KOK ONE"	"1411 K ST NW Washington, DC 20005"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=4723"	"http://maps.google.com/maps?q=1411 K ST NW Washington, DC 20005"	2023936277	"bangkok-one-washington"	38.9029173	-77.032584
2810	"BANGKOK JOES"	"3000 K ST NW WASHINGTON, DC 20007"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=2810"	"http://maps.google.com/maps?q=3000 K ST NW WASHINGTON, DC 20007"	2023334422	"bangkok-joes-washington"	38.9019792	-77.0599099
147514	"BANGKOK THAI DINING"	"2016 P ST NW WASHINGTON, DC 20036"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=147514"	"http://maps.google.com/maps?q=2016 P ST NW WASHINGTON, DC 20036"	2028721144	"bangkok-thai-dining-washington"	38.9094792	-77.0456101
2420	"BANGKOK THAI DINING"	"2016 P ST NW WASHINGTON, DC 20036"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=2420"	"http://maps.google.com/maps?q=2016 P ST NW WASHINGTON, DC 20036"		"bangkok-thai-dining-washington"	38.9094792	-77.0456101
3840	"BANK OF AMERICA"	"730 15TH ST NW Washington, DC 20005"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=3840"	"http://maps.google.com/maps?q=730 15TH ST NW Washington, DC 20005"	8007320230	"bank-of-america-washington-16"	38.8994077	-77.0340403
188316	"BANK OF AMERICA"	"730 15TH ST NW Washington, DC 20005"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=188316"	"http://maps.google.com/maps?q=730 15TH ST NW Washington, DC 20005"	2024427563	"bank-of-america-washington-16"	38.8994077	-77.0340403
188770	"BANTAM KING"	"501 G ST NW Washington, DC 20001"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=188770"	"http://maps.google.com/maps?q=501 G ST NW Washington, DC 20001"	2022898080	"archer-courier-washington"	38.8985936	-77.0192117
6939	"BAR 7 "	"1015 7th ST NW 1/2 WASHINGTON, DC 20001"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=6939"	"http://maps.google.com/maps?q=1015 7th ST NW WASHINGTON, DC 20001"	2023474343	"bar-7-washington"	38.9034968	-77.0216663
