inspec_id,permit_id,insp_date_x,insp_timein,insp_type,crit_viol,non_crit_viol,crit_viol_cos,crit_viol_rpt,non_crit_viol_cos,non_crit_viol_rpt,crit_viol_tbr,non_crit_viol_tbr,lat,lon
611045,3224,2015-03-25,14:30:00,Routine,3.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,38.9425819,-77.0248101
820066,3224,2015-11-04,13:55:00,Routine,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,38.9425819,-77.0248101
824399,3224,2016-05-04,13:45:00,Routine,3.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,38.9425819,-77.0248101
611169,1427,2015-04-01,10:55:00,Routine,10.0,3.0,4.0,0.0,0.0,0.0,6.0,3.0,38.905458,-77.026668
611170,172247,2015-03-31,12:10:00,Routine,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,38.920636,-77.0215489
823253,172247,2016-03-18,12:00:00,Routine,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,38.920636,-77.0215489
611188,172369,2015-04-01,13:20:00,Routine,5.0,3.0,1.0,0.0,1.0,0.0,4.0,2.0,38.9211817,-77.0418886
813458,172369,2015-09-21,11:35:00,Routine,2.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,38.9211817,-77.0418886
823287,172369,2016-03-21,11:00:00,Routine,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,38.9211817,-77.0418886
611200,6779,2015-03-31,13:10:00,Routine,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,38.8846492,-77.005512
820072,6779,2015-11-05,10:35:00,Routine,6.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,38.8846492,-77.005512
823431,6779,2016-03-24,09:45:00,Routine,6.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0,38.8846492,-77.005512
611217,172584,2015-04-02,14:20:00,Routine,5.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,38.9214784,-77.0323243
814010,172584,2015-10-07,11:01:00,Routine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.9214784,-77.0323243
611240,172885,2015-04-02,14:30:00,Routine,5.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,38.8842769,-77.018194
821027,172885,2015-12-15,12:55:00,Routine,6.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,38.8842769,-77.018194
611246,6961,2015-04-03,14:39:00,Routine,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,38.9420384,-77.0138061
611250,3841,2015-04-03,12:55:00,Routine,6.0,2.0,1.0,0.0,0.0,0.0,5.0,2.0,38.8994077,-77.0222207
611269,187312,2015-04-06,14:42:00,Routine,8.0,1.0,3.0,0.0,0.0,0.0,5.0,1.0,38.8978425,-77.054991
813712,187312,2015-09-30,12:55:00,Routine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.8978425,-77.054991
611283,7177,2015-04-06,14:25:00,Routine,5.0,3.0,1.0,0.0,0.0,0.0,4.0,3.0,38.8994077,-77.0222207
821235,7177,2015-12-29,10:35:00,Routine,10.0,4.0,1.0,0.0,1.0,0.0,9.0,3.0,38.8994077,-77.0222207
611305,2284,2015-04-07,11:00:00,Routine,4.0,3.0,2.0,0.0,1.0,0.0,2.0,2.0,38.9010324,-77.0439926
611374,6864,2015-04-07,13:08:00,Routine,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.9534633,-77.0273091
820141,6864,2015-11-06,13:55:00,Routine,3.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,38.9534633,-77.0273091
611387,147994,2015-04-08,13:55:00,Routine,3.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,38.9050914,-77.042174
822013,147994,2016-02-03,13:00:00,Routine,3.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,38.9050914,-77.042174
611433,1857,2015-04-09,13:13:00,Routine,6.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,38.9059552,-77.0348578
611473,148187,2015-04-13,10:30:00,Routine,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.9020797,-77.0607409
611507,148222,2015-04-13,12:55:00,Routine,10.0,6.0,6.0,0.0,2.0,0.0,4.0,4.0,38.9212242,-76.9947934
611520,172926,2015-04-13,15:30:00,Routine,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.8830295,-76.9952437
813052,172926,2015-09-01,13:47:00,Routine,8.0,2.0,8.0,0.0,2.0,0.0,0.0,0.0,38.8830295,-76.9952437
821504,172926,2016-01-11,12:10:00,Routine,6.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,38.8830295,-76.9952437
611537,172961,2015-04-14,12:15:00,Routine,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,38.9076708,-77.0715752
813382,172961,2015-09-17,11:20:00,Routine,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,38.9076708,-77.0715752
823972,172961,2016-04-19,14:32:00,Routine,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.9076708,-77.0715752
611570,172892,2015-04-14,15:13:00,Routine,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,38.9347837,-77.0238019
825116,172892,2016-05-26,12:00:00,Routine,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,38.9347837,-77.0238019
611593,172628,2015-04-15,11:20:00,Routine,4.0,5.0,2.0,0.0,0.0,0.0,2.0,5.0,38.9095021,-77.0322003
611659,172815,2015-04-17,12:15:00,Routine,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,38.8801636,-76.9953233
822002,172815,2016-02-03,10:30:00,Routine,6.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,38.8801636,-76.9953233
611668,172449,2015-04-20,11:05:00,Routine,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,38.9055607,-77.0491638
611713,2240,2015-04-21,10:56:00,Routine,6.0,3.0,5.0,0.0,3.0,0.0,1.0,0.0,38.8944358,-77.0426044
821312,2240,2016-01-04,10:30:00,Routine,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.8944358,-77.0426044
611756,2771,2015-04-22,12:00:00,Routine,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,38.9045011,-77.0575363
820309,2771,2015-11-13,09:00:00,Routine,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,38.9045011,-77.0575363
822254,2771,2016-02-11,10:55:00,Routine,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,38.9045011,-77.0575363
825216,2771,2016-05-23,12:00:00,Routine,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,38.9045011,-77.0575363
611758,2774,2015-04-22,13:30:00,Routine,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,38.9045011,-77.0575363
820327,2774,2015-11-13,09:00:00,Routine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.9045011,-77.0575363
822244,2774,2016-02-11,13:35:00,Routine,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,38.9045011,-77.0575363
