inspec_id,permit_id,insp_date_x,insp_timein,insp_type,crit_viol,non_crit_viol,crit_viol_cos,crit_viol_rpt,non_crit_viol_cos,non_crit_viol_rpt,crit_viol_tbr,non_crit_viol_tbr
812748,173205,2015-08-19,01:40:00,Routine,10.0,6.0,2.0,0.0,1.0,0.0,8.0,5.0
812760,173130,2015-08-20,10:45:00,Routine,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0
812768,172745,2015-08-20,10:29:00,Routine,10.0,3.0,6.0,0.0,0.0,0.0,4.0,3.0
812779,172467,2015-08-20,11:35:00,Routine,5.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0
812783,173181,2015-08-20,13:10:00,Routine,6.0,3.0,4.0,0.0,0.0,0.0,2.0,3.0
812794,4028,2015-08-20,11:15:00,Routine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
812812,3555,2015-08-21,11:15:00,Routine,4.0,4.0,2.0,0.0,2.0,0.0,2.0,2.0
812815,3459,2015-08-21,12:25:00,Routine,6.0,4.0,1.0,0.0,0.0,0.0,5.0,4.0
812829,147637,2015-08-24,23:00:00,Routine,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
812851,2470,2015-08-24,11:25:00,Routine,7.0,3.0,2.0,0.0,0.0,0.0,5.0,3.0
812852,2376,2015-08-24,11:21:00,Routine,7.0,2.0,1.0,0.0,0.0,0.0,6.0,2.0
812853,3388,2015-08-24,12:45:00,Routine,8.0,5.0,2.0,0.0,1.0,0.0,6.0,4.0
812884,1953,2015-08-25,14:00:00,Routine,5.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0
812890,3454,2015-08-25,11:25:00,Routine,4.0,4.0,3.0,0.0,1.0,0.0,1.0,3.0
812917,3327,2015-08-26,11:57:00,Routine,3.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0
812924,1950,2015-08-26,13:30:00,Routine,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
812937,147599,2015-08-26,11:12:00,Routine,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
812949,3458,2015-08-25,12:45:00,Routine,6.0,4.0,1.0,0.0,0.0,0.0,5.0,4.0
812956,173142,2015-08-27,11:55:00,Routine,3.0,3.0,2.0,0.0,0.0,0.0,1.0,3.0
812957,3500,2015-08-27,23:58:00,Routine,4.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0
812963,2239,2015-08-27,14:00:00,Routine,5.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0
812972,2579,2015-08-27,13:05:00,Routine,10.0,7.0,3.0,0.0,1.0,0.0,7.0,6.0
812990,3476,2015-08-28,23:07:00,Routine,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
813001,172553,2015-08-26,11:30:00,Routine,3.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0
813006,4061,2015-08-21,11:00:00,Routine,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
813009,3531,2015-08-13,12:00:00,Routine,4.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
813014,1362,2015-08-31,12:00:00,Routine,7.0,4.0,2.0,0.0,0.0,0.0,5.0,4.0
813017,3119,2015-08-31,10:55:00,Routine,5.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0
813052,172926,2015-09-01,13:47:00,Routine,8.0,2.0,8.0,0.0,2.0,0.0,0.0,0.0
813073,187487,2015-09-01,10:20:00,Routine,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
813078,4064,2015-09-01,14:05:00,Routine,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
813098,3024,2015-09-02,12:30:00,Routine,4.0,4.0,2.0,0.0,0.0,0.0,2.0,4.0
813105,1220,2015-09-01,10:20:00,Routine,1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0
813121,173117,2015-09-01,10:20:00,Routine,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
813124,1222,2015-09-01,10:20:00,Routine,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
813135,147319,2015-09-03,09:50:00,Routine,4.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0
813144,4436,2015-09-03,14:30:00,Routine,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0
813156,2380,2015-09-03,10:55:00,Routine,8.0,5.0,2.0,0.0,2.0,0.0,6.0,3.0
813159,147894,2015-09-03,14:25:00,Routine,7.0,3.0,2.0,0.0,0.0,0.0,5.0,3.0
813182,172327,2015-09-04,12:55:00,Routine,3.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0
813214,137286,2015-09-08,13:50:00,Routine,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
813221,3998,2015-09-09,11:20:00,Routine,9.0,3.0,3.0,0.0,0.0,0.0,6.0,3.0
813243,1199,2015-09-04,12:15:00,Routine,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
813258,6692,2015-09-10,12:50:00,Routine,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
813263,3322,2015-09-10,14:05:00,Routine,4.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0
813269,3785,2015-08-12,10:35:00,Routine,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
813296,4552,2015-09-11,11:00:00,Routine,6.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0
813304,172637,2015-09-11,12:30:00,Routine,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
813305,4022,2015-09-14,10:15:00,Routine,7.0,1.0,2.0,0.0,0.0,0.0,5.0,1.0
813306,2488,2015-09-14,10:15:00,Routine,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0
813313,7088,2015-09-14,13:36:00,Routine,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
813314,1340,2015-09-14,13:40:00,Routine,4.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0
813341,5825,2015-09-16,12:30:00,Routine,3.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0
813352,147640,2015-09-16,10:44:00,Routine,4.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0
813359,2971,2015-09-16,14:40:00,Routine,9.0,2.0,6.0,0.0,0.0,1.0,3.0,2.0
813368,6545,2015-09-14,11:30:00,Routine,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
813372,1251,2015-09-14,13:30:00,Routine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
813379,173016,2015-09-17,10:05:00,Routine,2.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0
813382,172961,2015-09-17,11:20:00,Routine,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0
813388,3240,2015-09-17,13:34:00,Routine,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
813415,147340,2015-09-18,10:30:00,Routine,3.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0
813420,5137,2015-09-18,12:41:00,Routine,4.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0
813434,5726,2015-09-18,13:15:00,Routine,3.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0
813439,3259,2015-09-18,11:30:00,Routine,4.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0
813455,148173,2015-09-21,10:50:00,Routine,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
813458,172369,2015-09-21,11:35:00,Routine,2.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0
813465,4671,2015-09-21,12:55:00,Routine,8.0,6.0,4.0,0.0,0.0,0.0,4.0,6.0
813470,1496,2015-09-21,11:35:00,Routine,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
813477,6679,2015-09-22,11:44:00,Routine,4.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0
813480,1338,2015-09-22,12:00:00,Routine,8.0,3.0,2.0,0.0,0.0,0.0,6.0,3.0
813492,137291,2015-09-22,11:40:00,Routine,6.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0
813512,6792,2015-09-23,11:10:00,Routine,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0
813516,3722,2015-09-10,14:30:00,Routine,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
813531,1339,2015-09-22,14:15:00,Routine,5.0,3.0,0.0,0.0,0.0,0.0,5.0,3.0
813539,3573,2015-09-24,11:01:00,Routine,4.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0
813551,187547,2015-09-24,11:20:00,Routine,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
813554,172476,2015-09-24,14:35:00,Routine,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0
813571,2435,2015-09-24,10:50:00,Routine,10.0,5.0,4.0,0.0,1.0,0.0,6.0,4.0
813586,6997,2015-09-25,13:25:00,Routine,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
813597,6186,2015-09-25,13:50:00,Routine,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
813632,5135,2015-09-29,01:55:00,Routine,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0
813644,6390,2015-09-29,12:55:00,Routine,9.0,6.0,2.0,0.0,2.0,0.0,7.0,4.0
813670,2559,2015-09-30,12:50:00,Routine,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0
813712,187312,2015-09-30,12:55:00,Routine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
813724,187547,2015-10-01,10:30:00,Routine,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
813750,3447,2015-10-01,13:40:00,Routine,7.0,5.0,1.0,0.0,0.0,0.0,6.0,5.0
813757,2303,2015-10-01,02:10:00,Routine,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
813762,1575,2015-10-02,09:30:00,Routine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
813781,3020,2015-10-02,12:40:00,Routine,10.0,4.0,3.0,0.0,0.0,0.0,7.0,4.0
813796,173135,2015-10-02,14:15:00,Routine,1.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0
813798,147477,2015-10-02,11:30:00,Routine,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
813806,1248,2015-10-05,10:15:00,Routine,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
813811,172558,2015-10-05,10:30:00,Routine,7.0,2.0,0.0,0.0,0.0,0.0,7.0,2.0
813818,187281,2015-10-05,12:15:00,Routine,7.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0
813830,5351,2015-10-05,10:18:00,Routine,4.0,1.0,1.0,3.0,0.0,1.0,3.0,1.0
813834,1823,2015-10-05,10:05:00,Routine,4.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0
