,inspec_id,permit_id,crit_viol,non_crit_viol,crit_viol_cos,crit_viol_rpt,non_crit_viol_cos,non_crit_viol_rpt,crit_viol_tbr,non_crit_viol_tbr,lat,lon,risk,insp_badge,yelp_rating,yelp_reviews,violation
1294,821874,147944,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.894388,-77.0235065,3,107.0,4.0,233,0
1295,821874,147944,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.894388,-77.0235065,3,107.0,4.0,233,0
1296,203376,6518,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,38.9052401,-77.0685805,3,59.0,4.0,37,0
1297,810934,6518,6.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,38.9052401,-77.0685805,3,29.0,4.0,37,1
1298,203440,148128,15.0,2.0,10.0,0.0,0.0,0.0,5.0,2.0,38.9017054,-77.0169603,3,89.0,3.5,255,1
1299,606277,148128,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.9017054,-77.0169603,3,611.0,3.5,255,0
1300,811203,148128,8.0,2.0,4.0,0.0,1.0,0.0,4.0,1.0,38.9017054,-77.0169603,3,603.0,3.5,255,1
1301,203466,1431,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,38.9046377,-77.031769,2,82.0,4.5,88,0
1302,611680,1431,13.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,38.9046377,-77.031769,2,607.0,4.5,88,1
1303,203486,833,11.0,1.0,2.0,0.0,0.0,0.0,9.0,1.0,38.9197235,-76.9708629,3,624.0,4.5,42,1
1304,405236,833,4.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,38.9197235,-76.9708629,3,422.0,4.5,42,0
1305,203523,3647,10.0,1.0,2.0,0.0,0.0,0.0,8.0,1.0,38.8983998,-77.0216171,3,624.0,2.5,229,1
1306,405108,3647,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,38.8983998,-77.0216171,3,59.0,2.5,229,0
1307,820606,3647,5.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,38.8983998,-77.0216171,3,64.0,2.5,229,1
1308,203625,137242,10.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,38.9066229,-77.0267628,2,64.0,2.0,5,1
1309,203630,2842,12.0,3.0,3.0,0.0,0.0,0.0,9.0,3.0,38.928615,-77.037538,3,64.0,4.0,81,1
1310,611609,2842,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,38.928615,-77.037538,3,612.0,4.0,81,0
1311,814088,2842,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,38.928615,-77.037538,3,603.0,4.0,81,1
1312,823524,2842,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,38.928615,-77.037538,3,51.0,4.0,81,0
1313,203677,6994,12.0,2.0,4.0,0.0,0.0,0.0,8.0,2.0,38.9029128,-77.0480662,2,82.0,4.5,3,1
1314,405898,6994,8.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,38.9029128,-77.0480662,2,29.0,4.5,3,1
1315,814313,6994,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,38.9029128,-77.0480662,2,422.0,4.5,3,1
1316,203686,6015,9.0,1.0,2.0,0.0,0.0,0.0,7.0,1.0,38.9029059,-77.0471797,3,82.0,3.5,521,1
1317,812020,6015,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,38.9029059,-77.0471797,3,88.0,3.5,521,0
1318,203727,147914,9.0,1.0,6.0,0.0,0.0,0.0,3.0,1.0,38.9033358,-77.0266747,3,121.0,3.5,172,1
1319,812117,147914,3.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,38.9033358,-77.0266747,3,54.0,3.5,172,0
1320,204010,147927,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.9199523,-77.0707471,3,82.0,2.0,24,0
1321,812239,147927,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,38.9199523,-77.0707471,3,29.0,2.0,24,0
1322,204040,2585,8.0,2.0,5.0,0.0,0.0,0.0,3.0,2.0,38.9206634,-77.0714116,2,82.0,3.0,28,1
1323,812234,2585,6.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,38.9206634,-77.0714116,2,29.0,3.0,28,1
1324,204056,172412,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,38.9061021,-77.0444795,3,82.0,3.5,191,0
1325,610865,172412,6.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,38.9061021,-77.0444795,3,121.0,3.5,191,1
1326,204155,3476,13.0,3.0,3.0,0.0,0.0,0.0,10.0,3.0,38.8970751,-77.0094648,3,26.0,3.5,365,1
1327,812990,3476,3.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,38.8970751,-77.0094648,3,611.0,3.5,365,0
1328,821474,3476,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,38.8970751,-77.0094648,3,107.0,3.5,365,1
1329,204223,7214,4.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,38.9470024,-77.0329897,2,59.0,3.5,23,0
1330,204223,7214,4.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,38.9470024,-77.0329897,2,59.0,3.5,23,0
1331,204223,7214,4.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,38.9470024,-77.0329897,2,59.0,3.5,23,0
1332,204229,2390,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,38.9040447,-77.0452663,2,54.0,4.0,281,0
1333,607350,2390,5.0,3.0,2.0,0.0,0.0,0.0,3.0,3.0,38.9040447,-77.0452663,2,29.0,4.0,281,1
1334,204300,1484,7.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,38.9060398,-77.0510415,4,59.0,4.0,1460,1
1335,204300,1484,7.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,38.9060398,-77.0510415,4,59.0,4.0,1460,1
1336,204316,2470,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.9011672,-77.047247,2,107.0,3.0,28,0
1337,606281,2470,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,38.9011672,-77.047247,2,624.0,3.0,28,0
1338,812851,2470,9.0,1.0,2.0,0.0,0.0,0.0,7.0,1.0,38.9011672,-77.047247,2,82.0,3.0,28,1
