,inspec_id,permit_id,insp_date_x,insp_timein,insp_type,crit_viol,non_crit_viol,crit_viol_cos,crit_viol_rpt,non_crit_viol_cos,non_crit_viol_rpt,crit_viol_tbr,non_crit_viol_tbr,lat,lon,risk,insp_badge
763,199621,147417,2013-10-29,10:10:00,Routine,3.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,38.898603,-77.019589,3,611.0
764,201799,147417,2014-02-20,23:30:00,Routine,5.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,38.898603,-77.019589,3,26.0
765,405187,147417,2014-10-24,13:15:00,Routine,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,38.898603,-77.019589,3,124.0
766,811315,147417,2015-06-15,11:37:00,Routine,9.0,1.0,1.0,0.0,1.0,0.0,8.0,0.0,38.898603,-77.019589,3,603.0
767,822429,147417,2016-02-19,10:30:00,Routine,6.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,38.898603,-77.019589,3,82.0
768,199626,3118,2013-10-29,23:45:00,Routine,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.9114532,-77.0752748,3,64.0
769,201628,3118,2014-02-11,11:55:00,Routine,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,38.9114532,-77.0752748,3,82.0
770,405520,3118,2014-10-31,13:30:00,Routine,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,38.9114532,-77.0752748,3,82.0
771,199629,800,2013-10-29,13:35:00,Routine,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,38.8976512,-77.0082214,3,422.0
772,203789,800,2014-05-23,11:50:00,Routine,11.0,4.0,3.0,0.0,0.0,0.0,8.0,4.0,38.8976512,-77.0082214,3,87.0
773,607481,800,2015-01-30,11:11:00,Routine,13.0,4.0,7.0,0.0,1.0,0.0,6.0,3.0,38.8976512,-77.0082214,3,89.0
774,822042,800,2016-02-05,10:00:00,Routine,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,38.8976512,-77.0082214,3,29.0
775,199630,3119,2013-10-29,14:00:00,Routine,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,38.9114532,-77.0752748,3,64.0
776,201633,3119,2014-02-11,13:45:00,Routine,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,38.9114532,-77.0752748,3,82.0
777,813017,3119,2015-08-31,10:55:00,Routine,5.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,38.9114532,-77.0752748,3,82.0
778,199632,3555,2013-10-28,14:00:00,Routine,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,38.9300192,-77.1065108,3,64.0
779,606950,3555,2015-01-08,11:30:00,Routine,9.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,38.9300192,-77.1065108,3,82.0
780,812812,3555,2015-08-21,11:15:00,Routine,7.0,1.0,4.0,0.0,0.0,0.0,3.0,1.0,38.9300192,-77.1065108,3,607.0
781,199661,147812,2013-10-31,11:45:00,Routine,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,38.8980284,-77.0285694,2,422.0
782,202799,147812,2014-04-03,14:40:00,Routine,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.8980284,-77.0285694,2,107.0
783,607147,147812,2015-01-15,11:10:00,Routine,7.0,1.0,3.0,0.0,0.0,0.0,4.0,1.0,38.8980284,-77.0285694,2,603.0
784,612027,147812,2015-05-01,13:37:00,Routine,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,38.8980284,-77.0285694,2,87.0
785,820405,147812,2015-11-17,12:35:00,Routine,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.8980284,-77.0285694,2,54.0
786,199668,147637,2013-10-31,20:54:00,Routine,5.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,38.9199,-76.9724212,1,650.0
787,812829,147637,2015-08-24,23:00:00,Routine,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.9199,-76.9724212,1,54.0
788,199682,6500,2013-10-31,10:15:00,Routine,6.0,1.0,3.0,0.0,1.0,0.0,3.0,0.0,38.9306776,-77.0330406,2,54.0
789,199688,5330,2013-10-31,11:00:00,Routine,6.0,1.0,4.0,0.0,0.0,0.0,2.0,1.0,38.912746,-77.017856,3,107.0
790,199709,3774,2013-11-01,14:30:00,Routine,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,38.9015945,-77.0212212,3,124.0
791,204109,3774,2014-06-05,11:00:00,Routine,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,38.9015945,-77.0212212,3,124.0
792,606350,3774,2014-12-08,11:10:00,Routine,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.9015945,-77.0212212,3,124.0
793,822962,3774,2016-03-10,10:45:00,Routine,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,38.9015945,-77.0212212,3,124.0
794,199710,3975,2013-11-01,13:00:00,Routine,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,38.900307,-77.0232865,4,124.0
795,810193,3975,2015-05-06,12:55:00,Routine,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,38.900307,-77.0232865,4,624.0
796,199731,3388,2013-11-04,11:30:00,Routine,13.0,4.0,6.0,0.0,0.0,0.0,7.0,4.0,38.9178579,-77.0964997,3,603.0
797,606963,3388,2015-01-09,10:55:00,Routine,10.0,1.0,4.0,0.0,0.0,0.0,6.0,1.0,38.9178579,-77.0964997,3,82.0
798,812853,3388,2015-08-24,12:45:00,Routine,9.0,4.0,3.0,0.0,0.0,0.0,6.0,4.0,38.9178579,-77.0964997,3,607.0
799,199763,5215,2013-11-05,11:10:00,Routine,8.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,38.9168487,-77.0278056,3,107.0
800,404776,5215,2014-10-07,11:20:00,Routine,5.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,38.9168487,-77.0278056,3,29.0
801,611172,5215,2015-04-01,12:35:00,Routine,7.0,1.0,4.0,0.0,0.0,0.0,3.0,1.0,38.9168487,-77.0278056,3,29.0
802,820230,5215,2015-11-10,13:03:00,Routine,5.0,1.0,2.0,2.0,0.0,1.0,3.0,1.0,38.9168487,-77.0278056,3,611.0
803,199764,3870,2013-11-04,11:00:00,Routine,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,38.8959483,-77.0224947,3,59.0
804,204662,3870,2014-06-30,23:35:00,Routine,16.0,3.0,6.0,0.0,0.0,0.0,10.0,3.0,38.8959483,-77.0224947,3,89.0
805,606918,3870,2015-01-07,13:45:00,Routine,10.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,38.8959483,-77.0224947,3,107.0
806,810277,3870,2015-05-08,10:55:00,Routine,11.0,2.0,4.0,0.0,0.0,0.0,7.0,2.0,38.8959483,-77.0224947,3,624.0
807,199776,5249,2013-11-06,14:00:00,Routine,9.0,2.0,1.0,0.0,0.0,0.0,8.0,2.0,38.8972065,-77.0243764,3,624.0
808,202700,5249,2014-04-01,13:04:00,Routine,15.0,3.0,11.0,0.0,0.0,0.0,4.0,3.0,38.8972065,-77.0243764,3,89.0
809,810198,5249,2015-05-07,09:44:00,Routine,14.0,1.0,1.0,0.0,0.0,0.0,13.0,1.0,38.8972065,-77.0243764,3,87.0
810,820822,5249,2015-12-07,10:40:00,Routine,8.0,2.0,2.0,0.0,0.0,0.0,6.0,2.0,38.8972065,-77.0243764,3,82.0
811,199781,5928,2013-11-06,11:00:00,Routine,3.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,38.8912113,-77.0298859,4,124.0
812,203674,5928,2014-05-19,10:05:00,Routine,7.0,3.0,2.0,0.0,0.0,0.0,5.0,3.0,38.8912113,-77.0298859,4,26.0
813,820497,5928,2015-11-20,10:15:00,Routine,7.0,2.0,4.0,0.0,1.0,0.0,3.0,1.0,38.8912113,-77.0298859,4,64.0
814,199829,147593,2013-11-08,09:45:00,Routine,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,38.8852836,-76.9966873,3,422.0
815,202689,147593,2014-04-01,12:10:00,Routine,10.0,1.0,4.0,0.0,0.0,0.0,6.0,1.0,38.8852836,-76.9966873,3,87.0
816,205356,147593,2014-08-12,10:30:00,Routine,13.0,1.0,4.0,0.0,0.0,0.0,9.0,1.0,38.8852836,-76.9966873,3,624.0
817,606758,147593,2014-12-29,11:15:00,Routine,7.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,38.8852836,-76.9966873,3,107.0
818,810718,147593,2015-05-26,13:10:00,Routine,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,38.8852836,-76.9966873,3,124.0
819,814352,147593,2015-10-22,13:45:00,Routine,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,38.8852836,-76.9966873,3,82.0
820,823451,147593,2016-03-25,13:50:00,Routine,5.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,38.8852836,-76.9966873,3,88.0
821,199832,147494,2013-11-06,12:00:00,Routine,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,38.8767926,-77.0053736,3,59.0
822,202416,147494,2014-03-21,11:25:00,Routine,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,38.8767926,-77.0053736,3,611.0
823,205952,147494,2014-09-04,12:50:00,Routine,9.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,38.8767926,-77.0053736,3,26.0
824,607167,147494,2015-01-16,13:05:00,Routine,11.0,3.0,5.0,0.0,1.0,0.0,6.0,2.0,38.8767926,-77.0053736,3,89.0
825,819875,147494,2015-10-27,15:45:00,Routine,5.0,2.0,1.0,0.0,0.0,0.0,4.0,2.0,38.8767926,-77.0053736,3,82.0
826,823152,147494,2016-03-16,11:15:00,Routine,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,38.8767926,-77.0053736,3,29.0
827,199850,1049,2013-11-08,11:30:00,Routine,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,38.8975799,-77.0061578,3,124.0
828,200804,1049,2013-12-30,09:40:00,Routine,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,38.8975799,-77.0061578,3,26.0
829,203835,1049,2014-05-27,11:30:00,Routine,4.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,38.8975799,-77.0061578,3,124.0
830,405731,1049,2014-11-13,10:48:00,Routine,16.0,2.0,2.0,0.0,0.0,0.0,14.0,2.0,38.8975799,-77.0061578,3,87.0
831,823608,1049,2016-04-06,10:45:00,Routine,17.0,1.0,7.0,0.0,0.0,0.0,10.0,1.0,38.8975799,-77.0061578,3,19.0
832,199852,5223,2013-11-08,10:30:00,Routine,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,38.8975799,-77.0061578,3,124.0
833,201125,5223,2014-01-16,10:00:00,Routine,6.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0,38.8975799,-77.0061578,3,603.0
834,203719,5223,2014-05-20,13:40:00,Routine,5.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,38.8975799,-77.0061578,3,87.0
835,199854,147961,2013-11-08,19:45:00,Routine,8.0,6.0,0.0,0.0,0.0,0.0,8.0,6.0,38.950453,-77.07995,2,26.0
836,405923,147961,2014-10-24,18:45:00,Routine,10.0,5.0,0.0,0.0,0.0,0.0,10.0,5.0,38.950453,-77.07995,2,61.0
837,199883,2506,2013-11-13,10:20:00,Routine,9.0,2.0,3.0,0.0,0.0,0.0,6.0,2.0,38.918465,-77.0704109,3,26.0
838,199893,147973,2013-11-13,11:00:00,Routine,2.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,38.9127558,-77.0124054,2,611.0
