accuracy,auc,f1,precision,recall,SelectFromModel,Estimator
0.9626666666666667,0.5,0.9809463068150482,0.9626666666666667,1.0,ElasticNetCV,LogisticRegression
0.9639999999999999,0.5,0.9815929196905823,0.9639999999999999,1.0,LogisticRegressionCV,LogisticRegression
0.972,0.5,0.9857608591841052,0.972,1.0,LinearSVC,LogisticRegression
0.9660000000000002,0.5,0.982686043152452,0.9660000000000002,1.0,SGDClassifier,LogisticRegression
0.9720000000000001,0.4583333333333333,0.9857299933349891,0.9720000000000001,1.0,RandomForestClassifier,LogisticRegression
0.9693333333333332,0.5,0.9843780884908604,0.9693333333333332,1.0,ElasticNetCV,KNeighborsClassifier
0.9686666666666666,0.5,0.9840268577851489,0.9686666666666666,1.0,LogisticRegressionCV,KNeighborsClassifier
0.9706666666666667,0.5,0.9850918849028485,0.9706666666666667,1.0,LinearSVC,KNeighborsClassifier
0.9593333333333334,0.49760059126916484,0.9791870435272246,0.9638697374096957,0.9952011825383297,SGDClassifier,KNeighborsClassifier
0.9720000000000001,0.4996556473829201,0.9857441328199297,0.9726451612903227,0.9993112947658402,RandomForestClassifier,KNeighborsClassifier
0.9700000000000001,0.509400406504065,0.9847378203237994,0.9719516129032257,0.9979674796747968,ElasticNetCV,BaggedKNeighborsClassifier
0.9686666666666666,0.5,0.9840519159603435,0.9686666666666666,1.0,LogisticRegressionCV,BaggedKNeighborsClassifier
0.9673333333333334,0.49965846994535523,0.9833379485710797,0.9679838709677417,0.9993169398907105,LinearSVC,BaggedKNeighborsClassifier
0.9659999999999999,0.49690863641301625,0.9826381450521106,0.9718220561237872,0.9938172728260325,SGDClassifier,BaggedKNeighborsClassifier
0.9659999999999999,0.5,0.9826492058476628,0.9659999999999999,1.0,RandomForestClassifier,BaggedKNeighborsClassifier
0.9633333333333333,0.49758656798988393,0.9812948068708084,0.9678432992394441,0.9951731359797679,ElasticNetCV,RandomForestClassifier
0.9613333333333332,0.49761202038927316,0.9802434656821516,0.9658919485969054,0.9952240407785463,LogisticRegressionCV,RandomForestClassifier
0.9606666666666666,0.5445186801312533,0.9798160888166834,0.9748895580871298,0.9848706935958398,LinearSVC,RandomForestClassifier
0.9479999999999998,0.5313578777948256,0.9731643710327816,0.9653478092693133,0.9813665492404448,SGDClassifier,RandomForestClassifier
0.9613333333333333,0.499311247723133,0.9802409437989642,0.9626236559139785,0.998622495446266,RandomForestClassifier,RandomForestClassifier
0.9466666666666668,0.4959694092231701,0.9725091693046073,0.9653592702082056,0.9800340565415784,ElasticNetCV,ExtraTreesClassifier
0.9646666666666665,0.5441139257112984,0.9819189389106864,0.9691325641786294,0.9951722958670413,LogisticRegressionCV,ExtraTreesClassifier
0.9559999999999998,0.539001378707281,0.9773670897464223,0.974102020662153,0.9807805351923395,LinearSVC,ExtraTreesClassifier
0.9533333333333335,0.49949736993630545,0.9760640346645251,0.9741529644843979,0.9781614065392775,SGDClassifier,ExtraTreesClassifier
0.9613333333333333,0.5441870936325351,0.9801389914456169,0.9657194684850076,0.9951202190111018,RandomForestClassifier,ExtraTreesClassifier
0.9553333333333333,0.5345434720747205,0.9770206345610005,0.9691378530314229,0.9857536108161078,ElasticNetCV,SGDClassifier
0.9346666666666668,0.44143289820615145,0.9656185018268686,0.9674489002187228,0.9648657964123029,LogisticRegressionCV,SGDClassifier
0.9486666666666667,0.5445315975452593,0.9733189943991384,0.9731348171319794,0.9737854173127406,LinearSVC,SGDClassifier
0.9533333333333335,0.5654306239688999,0.9758460601286479,0.9741369578381335,0.978083470160022,SGDClassifier,SGDClassifier
0.9446666666666669,0.562323167147857,0.9711113196347086,0.9713573908028357,0.9718685565179364,RandomForestClassifier,SGDClassifier
0.9686666666666667,0.49827249770431586,0.9840324578472665,0.9718813707491916,0.9965449954086317,ElasticNetCV,LinearSVC
0.9646666666666667,0.5,0.9819946070246702,0.9646666666666667,1.0,LogisticRegressionCV,LinearSVC
0.9686666666666667,0.5052461662631155,0.983995166583238,0.9698918611766764,0.9985875706214689,LinearSVC,LinearSVC
0.9673333333333334,0.5069444444444444,0.9832498252029129,0.9673064516129033,1.0,SGDClassifier,LinearSVC
0.967333333333333,0.4583333333333333,0.9832846451468124,0.967333333333333,1.0,RandomForestClassifier,LinearSVC
0.9546666666666667,0.5233204375880193,0.9767387118111667,0.965629636033261,0.9883075418427053,ElasticNetCV,AdaBoostClassifier
0.9526666666666666,0.5136079110599291,0.9756672422163479,0.9641452644748553,0.9875332824373184,LogisticRegressionCV,AdaBoostClassifier
0.9620000000000001,0.519854538708283,0.9805021232666388,0.9716901109812897,0.989709077416566,LinearSVC,AdaBoostClassifier
0.9666666666666667,0.4222420248300738,0.9829504568004711,0.9731373111704991,0.9931507163268143,SGDClassifier,AdaBoostClassifier
0.96,0.5250509965508592,0.9795412648679528,0.9677568384832448,0.9917686597683851,RandomForestClassifier,AdaBoostClassifier
0.9733333333333333,0.5,0.9864577921237009,0.9733333333333333,1.0,ElasticNetCV,SVC
0.9620000000000001,0.5,0.980541337554087,0.9620000000000001,1.0,LogisticRegressionCV,SVC
0.9673333333333334,0.5,0.9833350430348432,0.9673333333333334,1.0,LinearSVC,SVC
0.9686666666666669,0.5,0.9839786797791401,0.9686666666666669,1.0,SGDClassifier,SVC
0.9653333333333332,0.5,0.9822980423138755,0.9653333333333332,1.0,RandomForestClassifier,SVC
0.9693333333333335,0.5,0.9843891159724015,0.9693333333333335,1.0,none,LogisticRegression
0.9693333333333333,0.4993197165578213,0.9844031466660551,0.9706397849462366,0.9986394331156426,none,KNeighborsClassifier
