OBJECTID,LICENSE,TRADE_NAME,APPLICANT,CLASS,ENDORSEMENTS,ADDRESS,ADDRID,X,Y,DESCRIPTIO,STATUS,TYPE
60,ABRA-087728,Al Dente,"Golden Eagle, Inc.",C,,3201 NEW MEXICO AVENUE NW,223998,392652.26,140583.03,Restaurant,Active,Restaurant
61,ABRA-075870,Al Tiramisu,"Al Tiramisu, Inc.",C,,2014 P STREET NW,242648,396047.66,137950,Restaurant,Active,Restaurant
62,ABRA-080896,Alabama Convenience,Elisa Alabama Inc.,B,,2209 ALABAMA AVENUE SE,278081,402282.76,131429.52,Retail - Class B,Active,Retail - Class B
63,ABRA-092512,Alba Osteria,Eye Street Dining Inc,C,,425 I STREET NW,237566,398530.44,137094.66,Restaurant,Active,Restaurant
64,ABRA-077335,Albert's Liquors,"Ventura, LLC",A,,328 KENTUCKY AVENUE SE,37409,401238,135205.56,Retail - Liquor Store,Active,Retail - Liquor Store
65,ABRA-094098,ALDI INC  (MARYLAND),ALDI  INC.(MARYLAND),B,,901 17TH STREET NE,308898,401905.76,137078.87,Retail - Grocery,Active,Retail - Grocery
258,ABRA-092010,Brookland's Finest Bar & Kitchen,"Brookland's Finest, LLC",C,,3126 12TH STREET NE,150627,400780.92,140165.75,Tavern,Active,Tavern
259,ABRA-090871,Brown Street Market,Brown Yi Inc,B,,3320 BROWN STREET NW,233654,396696.87,140651.91,Retail - Grocery,Active,Retail - Grocery
260,ABRA-093536,Brush N Blush,"GB Holdings, LLC",D,,3210 GRACE STREET NW,274829,394491.23,137327.78,Multipurpose,Safekeeping,Multipurpose
261,ABRA-012993,Bua Restaurant & Bar,"Rosewood Regency Co., Inc.",C,,1635 P STREET NW,225836,396700.25,138001.82,Restaurant,Active,Restaurant
262,ABRA-093492,BUB  AND POP'S,CNS  LLC,C,,1815 M STREET NW,302382,396319.46,137555.22,Restaurant,Active,Restaurant
263,ABRA-060461,Buca Di Beppo,"Buca Restaurants, Inc.",C,,1825 CONNECTICUT AVENUE NW,242827,396034.83,138582.86,Restaurant,Active,Restaurant
264,ABRA-060769,Buck's Fishing & Camping,"Big Bucks, LLC",C,,5031 CONNECTICUT AVENUE NW,262737,393941.76,143103.83,Restaurant,Active,Restaurant
265,ABRA-090397,Buffalo & Bergen,Buffalo & Bergen LLC,C,,1309 5TH STREET NE,301991,400203.8,137872.89,Tavern,Active,Tavern
266,ABRA-020480,Buffalo Billiards Corporation,Buffalo Billiards Corporation,C,,1330 19TH STREET NW,302193,396205.64,137842.34,Tavern,Active,Tavern
267,ABRA-099597,Buffalo Wild Wings,Blazin Wings Inc,C,,1220 HALF STREET SW,71114,399095.07,134216.91,Restaurant,Active,Restaurant
268,ABRA-026466,Bukom Cafe,"Marabu, Inc.",C,,2442 18TH STREET NW,243167,396299.8,139321.83,Tavern,Active,Tavern
269,ABRA-097380,BUL,BUL Corp.,C,,2431 18TH STREET NW,235605,396363.39,139273.84,Restaurant,Active,Restaurant
