OBJECTID,LICENSE,TRADE_NAME,APPLICANT,CLASS,ENDORSEMENTS,ADDRESS,ADDRID,X,Y,DESCRIPTIO,STATUS,TYPE
2001,ABRA-060547,Zula Restaurant,Daniel Woldai,C,,1933 9TH STREET NW,302027,397940.12,138752.83,Restaurant,Safekeeping,Restaurant
2002,ABRA-025268,Leopold's Kafe Konditorei/L2,"Cady's Alley Restaurant Concepts, LLC",C,,,302277,394217.2615,137442.451,Restaurant,Active,Restaurant
2003,ABRA-091449,Rock Creek Market,"A & M, Inc.",B,,,285338,398163.7165,141000.3098,Retail - Class B,Active,Retail - Class B
2004,ABRA-092277,Tinto-405.1,"Eclectico Concepts, LLC-405.1  IN FILE ROOM",C,,,,397162.0283,140773.1497,Tavern,405.1 New Const,Tavern
2005,ABRA-072783,Sticky Rice,"Bee Hive, LLC",C,,,70873,400927.2609,136951.19,Restaurant,Active,Restaurant
2006,ABRA-098864,The Gallaudet Pavilion,The HR-57 Foundation,C,,5TH STREET NE AND PENN STREET NE,,400258.410014,138033.710014,Tavern,Active,Tavern
2007,ABRA-093123,Luke's Lobster,Lukes Lobster IV LLC,C,,624 E STREET NW,301058,398140.85,136457.92,Restaurant,ACTIVE,Restaurant
2008,ABRA-007235-3,Miss Mallory,Potomac Riverboat Company,C,,,,,,Marine Vessel,Active,Marine Vessel
2009,ABRA-020455,Nina's Dandy,"Potomac Party Cruises, Inc.",C,,,,,,Marine Vessel,Active,Marine Vessel
2010,ABRA-007235-2,Cherry Blossom,Potomac Riverboat Company,C,,,,,,Marine Vessel,Active,Marine Vessel
2011,ABRA-007235,,Potomac Riverboat Company,C,,,,,,Marine Vessel,Active,Marine Vessel
2012,ABRA-091955,TO BE DETERMINED(M kIVITZ),"Hopeful, Inc.",C,,2006 18TH STREET NW,235546,396368.08,138822.56,Restaurant,Safekeeping,Restaurant
1085,ABRA-094766,Masala Art,"Rudrakalash, LLC",C,,1101 4TH STREET SW,307156,398425.11,134419.16,Restaurant,Active,Restaurant
1086,ABRA-082973,Masala Art,"Rudraaksh, LLC",C,,4441 WISCONSIN AVENUE NW,284919,393144.68,142199.53,Restaurant,Active,Restaurant
1087,ABRA-079644,Mason Inn,"2408 Wisconsin Avenue, LLC",C,,2408 WISCONSIN AVENUE NW,289356,393718.68,139276.33,Tavern,Active,Tavern
1088,ABRA-071707,Mass Avenue & Mini Market,"Mass. Avenue Deli, Inc.",B,,4000 MASSACHUSETTS AVENUE NW,223988,393172.37,140382.97,Retail - Grocery,Active,Retail - Grocery
1089,ABRA-098505,Masseria,CREATIVE  CONSOLIDATION   LLC,C,,1340 4TH STREET NE,286080,400068.48,137982.15,Restaurant,Active,Restaurant
1090,ABRA-074594,Master Liquors,"18th & D Liquors, Inc.",A,,1806 D STREET NE,150136,401853.39,136347.14,Retail - Liquor Store,Active,Retail - Liquor Store
1091,ABRA-096192,Mastro's Steakhouse,"Mastro's Restaurant, LLC",C,,600 13TH STREET NW,240664,397408.94,136666.04,Restaurant,Active,Restaurant
1092,ABRA-079276,Matchbox,"Matchbox Capitol Hill, LLC",C,,521 8TH STREET SE,11684,400409.95,134918.3,Restaurant,Active,Restaurant
1093,ABRA-088258,Matchbox,Matchbox 14th Street LLC,C,,1901 14TH STREET NW,218546,397261.83,138653.55,Restaurant,Active,Restaurant
1094,ABRA-072014,Mate,"Mate, LLC",C,,3101 K STREET NW,301900,394672.61,137215.09,Restaurant,Active,Restaurant
1095,ABRA-025496,Matisse Bar & Grill,"Matisse Bar & Grill, LLC",C,,4934 WISCONSIN AVENUE NW,266079,392817.36,142936.4,Restaurant,Active,Restaurant
1096,ABRA-098753,Matthew Hayes,"Potomac Riverboat Company, LLC",D,,205 VARNUM STREET NW,244410,398751.96,141728.55,Marine Vessel,Active,Marine Vessel
1097,ABRA-090993,Maxime Steak Frites & Bar,"Cabo Negro, Inc.",C,,2915 M STREET NW,279640,394917.51,137502.27,Restaurant,Active,Restaurant
1098,ABRA-060561,Mayfair Liquors,"Hargunn, Inc.",A,,7312 GEORGIA AVENUE NW,253554,397682.36,145676.31,Retail - Liquor Store,Active,Retail - Liquor Store
1099,ABRA-098988,Mc Faddens,"2401 Penn Avenue Holding Enitity, LLC",C,,2401 PENNSYLVANIA AVENUE NW,273952,395497.64,137290.81,Restaurant,Safekeeping,Restaurant
1100,ABRA-076726,McClellan's Retreat,"Vulcan, LLC",C,,2031 FLORIDA AVENUE NW,243155,395959.5,138494.34,Tavern,Active,Tavern
1101,ABRA-070947,Mccormick & Schmick Seafood Restaurant,Mccormick & Schmick Restaurant Corporation,C,,901 F STREET NW,242796,397891.19,136633.46,Restaurant,Active,Restaurant
1102,ABRA-026432,Mccormick & Schmick Seafood Restaurant,McCormick & Schmick Restaurant Corp,C,,1652 K STREET NW,302207,396729.84,137149.85,Restaurant,Active,Restaurant
1103,ABRA-083044,McKinley Market,MNS LLC,B,,321 T STREET NE,38666,399913.71,138603.93,Retail - Grocery,Active,Retail - Grocery
1104,ABRA-091013,McReynold's Liquors,"Sedona, Inc.",A,,1776 G STREET NW,218480,396428.16,136695.02,Retail - Liquor Store,Active,Retail - Liquor Store
1105,ABRA-095280,Me & My Super Market,"Me  & Mines, LLC",B,,1111 H STREET NE,74122,400782.02,136895.35,Retail - Grocery,Active,Retail - Grocery
1106,ABRA-086593,Meade Wine & Liquors,"JCC, Inc.",A,,3919 SOUTH CAPITOL STREET SW,302097,399249.53,129368.44,Retail - Liquor Store,Active,Retail - Liquor Store
1107,ABRA-092127,Meat and Foods,"Meat and Foods, LLC",D,,247 FLORIDA AVENUE NW,302532,398653.23,138436.01,Restaurant,Active,Restaurant
1108,ABRA-026206,Medaterra,Cairo Inc.,C,,2614 CONNECTICUT AVENUE NW,219091,395471.74,139580.45,Restaurant,Active,Restaurant
1109,ABRA-086295,Medium Rare,"Medium Rare Cleveland Park, LLC",C,,3500 CONNECTICUT AVENUE NW,277550,394889.47,140873.67,Restaurant,Active,Restaurant
1110,ABRA-093525,"Medium Rare Barracks Row, LLC","Medium Rare Barracks Row, LLC",C,,515 8TH STREET SE,12344,400404.83,134932.22,Restaurant,Active,Restaurant
1111,ABRA-060062,Mehak Restaurant,PD & KS Incorporated,C,,817 7TH STREET NW,285563,398122.87,136941.07,Restaurant,Active,Restaurant
1112,ABRA-071154,Meiwah,"China, LLC",C,,1200 NEW HAMPSHIRE AVENUE NW,242474,395867.08,137550.87,Restaurant,Active,Restaurant
1113,ABRA-086063,Mellow Mushroom,"Doughboy Enterprises, LLC",C,,2436 18TH STREET NW,235406,396301.51,139296.95,Tavern,Active,Tavern
1114,ABRA-075008,Melrose Hotel,HHC TRS Melrose LLC,C,,2430 PENNSYLVANIA AVENUE NW,279592,395430.7,137240.97,Hotel,Active,Hotel
1115,ABRA-097642,Melt Shop,"MS 1901, LLC",D,,1901 L STREET NW,241075,396190.63,137354.68,Restaurant,Active,Restaurant
1116,ABRA-082296,Menick's Market,"CK Nanne, Inc.",B,,4401 NANNIE HELEN BURROUGHS AVENUE NE,288190,405297.36,136941.2,Retail - Grocery,Active,Retail - Grocery
1117,ABRA-088564,"Menomale, LLC",Menomale  LLC,C,,2711 12TH STREET NE,45331,400853.16,139663.98,Restaurant,Active,Restaurant
1118,ABRA-091036,Menu MBK,"Bord'eau, LLC",C,,405 8TH STREET NW,238425,398030.39,136385.94,Restaurant,Safekeeping,Restaurant
1119,ABRA-080606,Meridian Pint,"Notta Bike or Bar, LLC",C,,3400 11TH STREET NW,230947,397526.22,140456.43,Tavern,Active,Tavern
1120,ABRA-089763,Merlot's Masterpiece,"Merlot Art, LLC",D,,1512 U STREET NW,242105,396947.56,138771.79,Multipurpose,Active,Multipurpose
1121,ABRA-007916,Meskerem Ethiopia Restaurant,The Hannibal Corporation,C,,2434 18TH STREET NW,277162,396309.46,139293.14,Restaurant,Safekeeping,Restaurant
1122,ABRA-081030,Mesobe Restaurant and Deli Market,Debebe Addis,C,,1853 7TH STREET NW,218541,398122.17,138612.05,Restaurant,Active,Restaurant
1123,ABRA-095398,Mess Hall,"Crave, LLC",C,,703 EDGEWOOD STREET NE,289580,400359.03,139682.28,Tavern,Active,Tavern
1124,ABRA-001751,Metro K Supermarket,"Metro- K Supermarket, Inc.",B,,1864 COLUMBIA ROAD NW,235402,396224.29,139209.43,Retail - Grocery,Active,Retail - Grocery
1125,ABRA-097960,Metro Supermarket,"SMJ & Metro Inc., t/a metro Supermarket",B,,2130 P STREET NW,298500,395805.35,137959.03,Retail - Grocery,Active,Retail - Grocery
1126,ABRA-060602,Metro Wine & Spirits,Shree Corporation,A,,1726 COLUMBIA ROAD NW,284080,396552.65,139611.34,Retail - Liquor Store,Active,Retail - Liquor Store
1127,ABRA-060347,Meze,Meze Inc.,C,,2437 18TH STREET NW,235583,396359,139289.23,Restaurant,Active,Restaurant
1128,ABRA-086435,MGM Roast Beef,"Capital Fresh, Inc.",D,,1905 BRENTWOOD ROAD NE,54412,400501.78,138703.91,Restaurant,Active,Restaurant
1129,ABRA-096613,MI CUBA CAFE,"MI CUBA CAFE, INC",C,,1424 PARK ROAD NW,234391,397075.23,140284.66,Restaurant,Active,Restaurant
1130,ABRA-023640,Michigan Liquors,H & Y Chun Corporation,A,,3934 12TH STREET NE,29009,400821.83,141136.99,Retail - Liquor Store,Active,Retail - Liquor Store
1131,ABRA-094784,Micho's,"Shawarmaji, LLC",C,,500 H STREET NE,15429,400060.09,136949.08,Restaurant,Active,Restaurant
1132,ABRA-095044,Midnight Delicatessen,S & L LLC,B,,4701 GEORGIA AVENUE NW,252099,397705.21,142161.74,Retail - Grocery,Active,Retail - Grocery
1133,ABRA-072087,Midtown,"Hak, LLC",C,,1219 CONNECTICUT AVENUE NW,278950,396428.34,137631.49,Nightclub,Active,Nightclub
1134,ABRA-100407,Mignot,MS. HANA   LLC.,C,,4815 GEORGIA AVENUE NW,252040,397683.04,142324.84,Restaurant,Active,Restaurant
1135,ABRA-000460,Millie's And Al's Ballances Columbia Restaurant,Ballances Columbia Restaurant Inc.,C,,2440 18TH STREET NW,235398,396297.07,139313.29,Restaurant,Active,Restaurant
1136,ABRA-089668,MIMI's CONVENIENCE,"HYUN, INC.",B,,5435 MACARTHUR BOULEVARD NW,224231,390770.59,140229.73,Retail - Grocery,Active,Retail - Grocery
1137,ABRA-096758,Mimosa Restaurant,Mimosa Inc.,C,,1915 18TH STREET NW,241426,396410.21,138685.33,Restaurant,Active,Restaurant
1138,ABRA-083415,Ming's,MT 617 Corporation,C,,617 H STREET NW,238699,398202.61,136918.01,Restaurant,Active,Restaurant
1139,ABRA-089911,MINIBAR/BARMINI,505 Nineth Street Partners LLC,C,,855 E STREET NW,310616,397966.36,136497.36,Restaurant,Active,Restaurant
1140,ABRA-000222,Minnesota Liquors,"Bob-kat, Inc.",A,,2237 MINNESOTA AVENUE SE,286751,402308.89,133784.95,Retail - Liquor Store,Active,Retail - Liquor Store
1141,ABRA-095245,Minnesota Store,"Minnesota Store, LLC",B,,3728 MINNESOTA AVENUE NE,31128,404122.01,135919.37,Retail - Class B,Active,Retail - Class B
1142,ABRA-085865,Mintwood Place,A.C. Adams LLC,C,,1811 COLUMBIA ROAD NW,235375,396224.37,139361.61,Restaurant,Active,Restaurant
1143,ABRA-076072,Mio Restaurant,"Mio, DC, LLC",C,,1110 VERMONT AVENUE NW,240248,397118.27,137384.18,Restaurant,Active,Restaurant
1144,ABRA-075536,Miriam's Cafeteria,"Miriam's Cafe, LLC",C,,3931 14TH STREET NW,224892,397187.91,141294.23,Restaurant,Active,Restaurant
1145,ABRA-098753-3,Miss Christin,"Potomac Riverboat Company, LLC",D,,205 VARNUM STREET NW,244410,398751.96,141728.55,Marine Vessel,Active,Marine Vessel
1146,ABRA-023816,Miss Saigon,"Miss Saigon Of Georgetown ,Inc.",C,,3057 M STREET NW,272063,394750.17,137509.83,Restaurant,Active,Restaurant
1147,ABRA-094290,Mission,"Hilltop Hospitality, LLC",C,,1606 20TH STREET NW,279247,396085.48,138183.8,Restaurant,Active,Restaurant
1148,ABRA-023503,Missouri Avenue Market,"Rufael, Incorporation",B,,5900 GEORGIA AVENUE NW,253189,397536.12,143734.68,Retail - Grocery,Active,Retail - Grocery
1149,ABRA-095905,MLK MINI MARKET,"S & B MARKET, LLC",B,,3333 MARTIN LUTHER KING JR AVENUE SE,36102,399732.55,130511.96,Retail - Grocery,Active,Retail - Grocery
1150,ABRA-091418,Mockingbird Hill,"Mockingbird Hill, LLC",C,,1843 7TH STREET NW,279438,398117.1,138586.09,Tavern,Active,Tavern
1151,ABRA-084387,Modern Liquors,Pour Liquor & More LLC,A,,901 M STREET NW,226092,397905.03,137552.3,Retail - Liquor Store,Active,Retail - Liquor Store
1152,ABRA-086148,Molly Malone's,"Molly Malone's, LLC",C,,713 8TH STREET SE,77119,400409.24,134769.95,Restaurant,Active,Restaurant
1153,ABRA-076962,Momiji,Momiji Rest. Corp,C,,503 H STREET NW,310962,398336.01,136901.14,Restaurant,Active,Restaurant
1154,ABRA-098740,Momofuku/MilkBar City Center DC,"MOMOCCDC, LLC",C,,1090 I STREET NW,312276,397681.38,136985.6,Restaurant,Active,Restaurant
1155,ABRA-074714,Momoyama,"Jun & Jin, Inc.",C,,231 2ND STREET NW,279584,398832.1,136149.05,Restaurant,Active,Restaurant
1156,ABRA-094996,MOM'S ORGANIC MARKET,MOM'S ORGANIC MARKET INC.,B,,1401 NEW YORK AVENUE NE,286132,401387.59,138638.28,Retail - Grocery,Active,Retail - Grocery
1157,ABRA-097473,Montana Liquors,"T and A, LLC",A,,1801 MONTANA AVENUE NE,300678,401810.52,139077.47,Retail - Liquor Store,Active,Retail - Liquor Store
1158,ABRA-060422,Montmartre/7th Hill,"La Goulu, Inc.",C,,327 7TH STREET SE,37312,400308.39,135279.31,Restaurant,Active,Restaurant
1159,ABRA-084925,Morgan's Seafood Bar & Grill,"Rome-Rome Productions, LLC",C,,3200 GEORGIA AVENUE NW,232965,397956.44,140253.91,Restaurant,Active,Restaurant
1160,ABRA-090132,Morris Miller Liquors,Morris Miller Inc,A,,7804 ALASKA AVENUE NW,285421,397658.71,146242.4,Retail - Liquor Store,Active,Retail - Liquor Store
1161,ABRA-020149,Morrison-Clark Inn,"Morrison-Clark, Inc.",C,,1015 L STREET NW,239355,397682.2,137390.94,Hotel,Active,Hotel
1162,ABRA-024326,Morton's The Steakhouse/ Bar 21,"Morton's of Chicago/Washington Square, Inc.",C,,1050 CONNECTICUT AVENUE NW,243417,396500.05,137295.43,Restaurant,Active,Restaurant
1163,ABRA-003880,Morton's The Steakhouse/ Bar 21,"Morton's of Chicago/Washington, DC, Inc.",C,,3251 PROSPECT STREET NW,272144,394466.2,137594.74,Restaurant,Active,Restaurant
1164,ABRA-091237,Mothership,Christine Inc.,C,,3301 GEORGIA AVENUE NW,228866,397979.96,140388.06,Restaurant,Safekeeping,Restaurant
1165,ABRA-084413,Motor Yacht Finished Business (2 of 3),"Capital Yacht Charters, LLC",C,,1300 MAINE AVENUE SW,302192,397431.83,134921.33,Marine Vessel,Active,Marine Vessel
1166,ABRA-080006,Mott's Market,"CHO'S FAMILY MARKET, INC.",B,,233 12TH STREET SE,48415,400821.22,135428.22,Retail - Grocery,Active,Retail - Grocery
1167,ABRA-060768,Mourayo,"Mourayo, LLC",C,,1732 CONNECTICUT AVENUE NW,242584,396000.76,138417.9,Restaurant,Active,Restaurant
1168,ABRA-087030,Mova,"Kiel, LLC",C,,2204 14TH STREET NW,239927,397201.03,139062.16,Tavern,Active,Tavern
1169,ABRA-071088,MPIRE Club,"M Street Management Group, LLC",C,,1819 M STREET NW,241269,396307.52,137561.52,Nightclub,Active,Nightclub
1170,ABRA-060553,Mr Chen's,Mr Chen's Inc.,C,,2604 CONNECTICUT AVENUE NW,284426,395486.37,139553.37,Restaurant,Active,Restaurant
1171,ABRA-017006,Mr. Henry (Adams Morgan),NULL,C,,1836 COLUMBIA ROAD NW,243145,396256.29,139311.7,Restaurant,Safekeeping,Restaurant
1172,ABRA-000259,Mr. Henry's,Mr. Henry's Inc.,C,,601 PENNSYLVANIA AVENUE SE,5540,400149.38,135256.04,Restaurant,Active,Restaurant
1173,ABRA-000864,Mr. Smith's,Kimberly Inc.,C,,3104 M STREET NW,302262,394674.1,137462.18,Restaurant,Safekeeping,Restaurant
1174,ABRA-000927,Mr. Smith's of Georgetown,Chowder House Inc,C,,3205 K STREET NW,277271,394525.5,137217.76,Tavern,Active,Tavern
1175,ABRA-097489,Mudrick's Supermarket,Sheger LLC,B,,1064 BLADENSBURG ROAD NE,276160,401640.09,137346.88,Retail - Grocery,Active,Retail - Grocery
1176,ABRA-075599,Murasaki Restaurant,Sushi Story LLC,C,,4620 WISCONSIN AVENUE NW,264432,392985.43,142496.3,Restaurant,Active,Restaurant
1177,ABRA-083264,Music & Arts Club/Tropicalia,"Cuckoo Marans, LLC",C,,2001 14TH STREET NW,240357,397248.69,138809.3,Nightclub,Active,Nightclub
1178,ABRA-082921,Muzette,Musings Corporation,C,,2305 18TH STREET NW,226269,396407.6,139108.5,Restaurant,Active,Restaurant
1179,ABRA-090420,MXDC,Riscatto Restaurant LLC,C,,600 14TH STREET NW,300970,397200.36,136648.98,Restaurant,Active,Restaurant
1180,ABRA-075479,My Canton Restaurant,Family's Corporation,C,,1772 COLUMBIA ROAD NW,235707,396434.39,139502.11,Restaurant,Active,Restaurant
1181,ABRA-096999,Nagomi,"Nagomi, Inc.",C,,1990 M STREET NW,241073,396138.83,137513.34,Restaurant,Active,Restaurant
1182,ABRA-087641,Nam's Market,GS Corporation,B,,1327 W STREET SE,67260,401150.05,132931.85,Retail - Grocery,Active,Retail - Grocery
1183,ABRA-025298,Nam-viet Pho 79,Thoi Foods Inc.,C,,3419 CONNECTICUT AVENUE NW,219250,394998.13,140793.04,Restaurant,Active,Restaurant
1184,ABRA-072023,Nana Thai,"The Old Siam, LLC",C,,406 8TH STREET SE,280070,400463.53,135075.36,Tavern,Active,Tavern
1185,ABRA-078979,Nando's Peri Peri,Nandos Restaurant Group Inc.,C,,819 7TH STREET NW,285564,398124.31,136952.41,Restaurant,Active,Restaurant
1186,ABRA-079701,Nando's Peri Peri,"Nando's Restaurant Group, Inc.",C,,1210 18TH STREET NW,241289,396360.46,137588.68,Restaurant,Active,Restaurant
1187,ABRA-092802,Nando's Peri Peri,Nando's at the Yards LLC,C,,300 TINGEY STREET SE,307287,399889.57,134154.2,Restaurant,Active,Restaurant
1188,ABRA-092041,Nando's Peri Peri,"Nando's of Tenleytown, LLC",C,,4231 WISCONSIN AVENUE NW,222972,393301.99,141808.04,Restaurant,Active,Restaurant
1189,ABRA-076279,Nanny O'Brien's Irish Pub,Nanny O's LLC,C,,3319 CONNECTICUT AVENUE NW,219238,395039.48,140693.79,Tavern,Active,Tavern
1190,ABRA-087508,Nati Hookah Bar,Aida Woldeslassie,C,,2839 GEORGIA AVENUE NW,237986,398032.13,139915.06,Tavern,Active,Tavern
1191,ABRA-000793,National Democratic Club,National Democratic Club,C,,30 IVY STREET SE,42658,399309.14,135171.14,Club,Active,Club
1192,ABRA-089966,National Elite,Spirit Cruises LLC,C,,600 WATER STREET SW,276680,398119.18,134229.64,Marine Vessel,Active,Marine Vessel
1193,ABRA-000001,National Press Club,National Press Club of Washington,C,,529 14TH STREET NW,301074,397263.41,136574.85,Club,Active,Club
1194,ABRA-095684,National Theatre,National Theatre Corporation/SMG World/Jam Theatrical LTD,C,,1321 PENNSYLVANIA AVENUE NW,293201,397357.4,136507.99,Multipurpose,Active,Multipurpose
1195,ABRA-094263,Native Foods Cafe,"Native Foods California, LLC",D,,1150 CONNECTICUT AVENUE NW,241786,396416.78,137495.99,Restaurant,Active,Restaurant
1196,ABRA-093268,Native Foods Cafe,"Native Foods California, LLC",D,,701 PENNSYLVANIA AVENUE NW,279889,398058.52,136288.13,Restaurant,Active,Restaurant
1197,ABRA-100279,Nazca Restaurant/ Mochica Restaurant,"NazcaMochica Restaurant, LLC",C,,1633 P STREET NW,225835,396706.52,138002.11,Restaurant,Active,Restaurant
1198,ABRA-075240,Nellie's Restaurant & Sports Bar,Rocdo LLC,C,,900 U STREET NW,242923,397899.41,138773.8,Tavern,Active,Tavern
1199,ABRA-087236,New Big Wong,"Yuan Profit, Inc.",C,,610 H STREET NW,238706,398210.96,136854.77,Restaurant,Active,Restaurant
1200,ABRA-087725,New Columbia Distillers,New Columbia Distillers LLC.,A,,1832 FENWICK STREET NE,118198,401356.92,138412.53,Manufacturer,Active,Manufacturer
1201,ABRA-023501,"New Da Hsin Trading, Inc","New Da Hsin Trading, Inc.",A,,811 7TH STREET NW,238701,398122.93,136927.04,Retail - Liquor Store,Active,Retail - Liquor Store
1202,ABRA-087574,New District Kitchen,District Kitchen LLC,C,,2606 CONNECTICUT AVENUE NW,284429,395480.22,139558.52,Restaurant,Active,Restaurant
1203,ABRA-099565,New Dodge Market,HSR   INC.,B,,3620 14TH STREET NW,258940,397136.51,141013.79,Retail - Grocery,Active,Retail - Grocery
1204,ABRA-093550,New H Wine & Spirits,Andy Lee Liquor Inc.,A,,914 H STREET NE,82251,400596.35,136953.31,Retail - Liquor Store,Active,Retail - Liquor Store
1205,ABRA-060454,New Hampshire Market,"Bella Investments, Inc.",B,,1900 16TH STREET NW,241920,396803.73,138650.76,Retail - Grocery,Active,Retail - Grocery
1206,ABRA-009480,New Heights,"Zandamn, Inc.",C,,2317 CALVERT STREET NW,284351,395469.49,139539.06,Restaurant,Active,Restaurant
1207,ABRA-082173,New Neighborhood Market,"Kyeong & Company, Inc.",B,,1611 RHODE ISLAND AVENUE NE,59933,401624.55,139816.69,Retail - Class B,Active,Retail - Class B
1208,ABRA-021784,New Orleans Cafe,Bardia's Inc.,C,,2412 18TH STREET NW,235401,396321.58,139249.18,Restaurant,Safekeeping,Restaurant
1209,ABRA-078965,New Reservoir Market,"KMRY, Incorporated",B,,1942 1ST STREET NW,227484,398923.29,138776.71,Retail - Grocery,Active,Retail - Grocery
1210,ABRA-095880,New Seven Market,New Seven Market Inc,B,,1406 GOOD HOPE ROAD SE,65049,401316.71,133231.09,Retail - Class B,Active,Retail - Class B
1211,ABRA-076234,New York Liquors,"Kartik, Inc.",A,,1447 MARYLAND AVENUE NE,63004,401393.58,136861.58,Retail - Liquor Store,Active,Retail - Liquor Store
1212,ABRA-077573,Newseum,"Wolfgang Puck Catering and Events, LLC",C,,555 PENNSYLVANIA AVENUE NW,297641,398321.34,136142.24,Multipurpose,Active,Multipurpose
1213,ABRA-094313,Newton Food Mart,"Alexander Market, Inc.",B,,3600 12TH STREET NE,33055,400759.84,140645.81,Retail - Class B,Active,Retail - Class B
1214,ABRA-077567,Next Door,"Knz, LLC",C,,1211 U STREET NW,240809,397511.69,138828.47,Tavern,Active,Tavern
1215,ABRA-017308,Nick's Riverside Grille,"PPT, Inc.",C,,3050 K STREET NW,300691,394715.84,137122.85,Restaurant,Active,Restaurant
1216,ABRA-097981,Nido,E&K Real LLC,C,,2214 RHODE ISLAND AVENUE NE,50250,402294.33,140305.2,Tavern,Active,Tavern
1217,ABRA-081343,"Night 'N"" Day 24 Hour Convenience Store",PTK INCORPORATED,B,,5026 BENNING ROAD SE,14817,406006.01,134446.23,Retail - Grocery,Active,Retail - Grocery
1218,ABRA-021949,Nightingale II,Frager Enterprises Inc.,C,,600 WATER STREET SW,276680,398119.18,134229.64,Marine Vessel,Active,Marine Vessel
1219,ABRA-060432,Nile Market & Kitchen,Atsede Corporation,C,,7815 GEORGIA AVENUE NW,302140,397721.32,146246.55,Restaurant,Active,Restaurant
1220,ABRA-077000,Nima's Restaurant & Bar,"Sam-sam, LLC",C,,1230 9TH STREET NW,239788,397899.02,137627.22,Restaurant,Active,Restaurant
1221,ABRA-085258,Noble Lounge,"YETENBI, INC",C,,1915 9TH STREET NW,239851,397940.83,138705.8,Tavern,Active,Tavern
1222,ABRA-094777,Noelia,Gill Investment Group,C,,1319 F STREET NW,243088,397346.13,136639.86,Restaurant,Active,Restaurant
1223,ABRA-087558,Nomad Hookah Bar,Raso Corporation,C,,1200 H STREET NE,72285,400865.07,136946.96,Tavern,Active,Tavern
1224,ABRA-090611,NONE(FORMERLY-Skylark Lounge),"Skylark Lounge of DC, LLC",C,,1943 NEW YORK AVENUE NE,289558,402146.46,138790.52,Nightclub,Safekeeping,Nightclub
1225,ABRA-093151,Noodles & Company,"The Noodle Shop Co.- Colorado, Inc.",C,,1140 19TH STREET NW,241076,396193.86,137456.2,Restaurant,Active,Restaurant
1226,ABRA-087904,Noodles & Company,"The Noodle Shop Co.-Colorado, Inc.",C,,2635 CONNECTICUT AVENUE NW,284445,395516.23,139642,Restaurant,Active,Restaurant
1227,ABRA-091046,Noodles & Company,"The Noodles Shop, Co. - Colorado Inc",C,,1667 K STREET NW,279291,396688.31,137238.8,Restaurant,Active,Restaurant
1228,ABRA-091044,Noodles & Company,The Noodle Shop Co - Colorado Inc,C,,1815 WISCONSIN AVENUE NW,273701,394177.38,138595.63,Restaurant,Active,Restaurant
1229,ABRA-060525,Noodles on 11,"Aoi, Inc.",C,,1100 NEW YORK AVENUE NW,297684,397619.45,136979.92,Restaurant,Active,Restaurant
1230,ABRA-024470,Nooshi,Magic Meals Inc.,C,,1120 19TH STREET NW,241074,396195.88,137411.08,Restaurant,Active,Restaurant
1231,ABRA-085618,Nooshi Capitol Hill,"Nooshi Capitol Hill, Inc.",C,,524 8TH STREET SE,11257,400459.72,134889.73,Restaurant,Active,Restaurant
1232,ABRA-090984,NOPA,"AB, LLC",C,,800 F STREET NW,238378,397980.18,136570.17,Restaurant,Active,Restaurant
1233,ABRA-073973,North Sea Carry-out Restaurant,Xaing Fong Corporation,B,,2479 18TH STREET NW,235623,396326.5,139399.57,Retail - Grocery,Active,Retail - Grocery
1234,ABRA-092694,Northeast Liquors,"D & M, LLC",A,,515 15TH STREET NW,279820,397103.43,136567.81,Retail - Liquor Store,Safekeeping,Retail - Liquor Store
1235,ABRA-094097,Northeast Supermarket,"North Woodbridge, LLC",B,,1201 MOUNT OLIVET ROAD NE,285914,401317.37,137991.22,Retail - Grocery,Active,Retail - Grocery
1236,ABRA-060270,Northwest Liquors,"Northwest Liquors, Inc.",A,,300 KENNEDY STREET NW,249474,398588.06,143159.7,Retail - Liquor Store,Active,Retail - Liquor Store
1237,ABRA-060556,Nottie Bianche,GW University,C,,824 NEW HAMPSHIRE AVENUE NW,274009,395430.48,136931.62,Restaurant,Active,Restaurant
1238,ABRA-086354,Number Nine,"Second Home, LLC",C,,1435 P STREET NW,279171,397105.53,138003.31,Tavern,Active,Tavern
1239,ABRA-092903,Nurish Food & Drink,"Bloomingdale Partners, LLC",C,,1231 GOOD HOPE ROAD SE,285962,401068.43,133237.51,Restaurant,Active,Restaurant
1240,ABRA-014153,Oasis,Oasis Inc.,B,,2024 P STREET NW,242646,396009.76,137953.17,Retail - Grocery,Active,Retail - Grocery
1241,ABRA-088531,Oasis Market,"Oasis Liquor, Inc.",A,,1179 3RD STREET NE,72474,399845,137515.74,Retail - Liquor Store,Active,Retail - Liquor Store
1242,ABRA-010664,Obelisk,"Obelisk, Inc.",C,,2029 P STREET NW,279518,395987.06,137997.94,Restaurant,Active,Restaurant
1243,ABRA-096628,Ocean Front Liquors,"Aki Muller & Eyob, LLC",A,,4682 MARTIN LUTHER KING JR AVENUE SW,147083,399075.2,128149.14,Retail - Liquor Store,Active,Retail - Liquor Store
1244,ABRA-060231,O'Connor's Liquors,O'Connors Liquor Incorporated,A,,2900 MINNESOTA AVENUE SE,287311,402964.15,134258.1,Retail - Liquor Store,Active,Retail - Liquor Store
